Organization Name ,region,country
        Academic institutions,14,407
            The University of Texas at Arlington,14,407
            The University of Texas at Austin,14,407
            The University of Texas at Dallas,14,407
            The University of Texas at El Paso,14,407
            The University of Texas of the Permian Basin,14,407
            The University of Texas Rio Grande Valley,14,407
            The University of Texas at San Antonio,14,407
            The University of Texas at Tyler,14,407
        Health institutions,14,407
            University of Texas MD Anderson Cancer Center,14,407
            University of Texas Medical Branch,14,407
            University of Texas Southwestern Medical Center,14,407
            University of Texas Health Science Center at Houston (UTHealth),14,407
            University of Texas Health Science Center at San Antonio,14,407
            University of Texas Health Science Center at Tyler,14,407
    Texas A&M University System,14,407
        Prairie View A&M University,14,407
        Tarleton State University,14,407
        Texas A&M International University,14,407
        Texas A&M University,14,407
        Texas A&M University–Central Texas,14,407
        Texas A&M University–Commerce,14,407
        Texas A&M University–Corpus Christi,14,407
        Texas A&M University–Kingsville,14,407
        Texas A&M University–San Antonio,14,407
        Texas A&M University–Texarkana,14,407
        West Texas A&M University,14,407
    Texas Southern University,14,407
    Texas State University System,14,407
        Lamar University,14,407
        Sam Houston State University,14,407
        Sul Ross State University,14,407
        Texas State University,14,407
    Texas Tech University System,14,407
        Angelo State University,14,407
        Texas Tech University,14,407
    Texas Woman's University,14,407
Utah,14,407
    Utah System of Higher Education,14,407
        Dixie State University (Dixie State),14,407
        Southern Utah University (Southern Utah or SUU),14,407
"        University of Utah (Utah, U of U, or UU)",14,407
        Utah State University (Utah State or USU),14,407
        Utah Valley University (Utah Valley or UVU),14,407
        Weber State University (Weber State),14,407
Vermont,14,407
    Vermont State Colleges ,14,407
        Castleton University (Castleton State or Castleton),14,407
        Johnson State College,14,407
        Lyndon State College,14,407
        University of Vermont (UVM),14,407
Virginia,14,407
    Christopher Newport University (CNU),14,407
    Eastern Virginia Medical School (EVMS),14,407
    George Mason University (GMU),14,407
    James Madison University (JMU),14,407
    Longwood University,14,407
    University of Mary Washington (Mary Washington or UMW (pronounced UM W)),14,407
    Norfolk State University,14,407
    Old Dominion University (Old Dominion or ODU),14,407
    Radford University,14,407
    University of Virginia (UVA),14,407
    University of Virginia's College at Wise (UVA at Wise or UVA-Wise),14,407
    Virginia Commonwealth University (VCU),14,407
    Virginia Military Institute (VMI),14,407
    Virginia Polytechnic Institute and State University (Virginia Tech),14,407
        Virginia–Maryland College of Veterinary Medicine ,14,407
    Virginia State University,14,407
    The College of William & Mary (William and Mary),14,407
    University of the Virgin Islands system,14,407
        University of the Virgin Islands- St. Croix campus (UVI-St. Croix),14,407
        University of the Virgin Islands- St. Thomas campus (UVI-St. Thomas),14,407
Washington,14,407
    Central Washington University (CWU),14,407
    Eastern Washington University (EWU),14,407
    The Evergreen State College,14,407
    University of Washington system,14,407
        University of Washington (Washington or UW) (Seattle-flagship/main campus),14,407
        UW Tacoma campus (see University of Washington Tacoma),14,407
        UW Bothell campus,14,407
    Washington State University system,14,407
        Washington State University (Wazzu or WSU) (Pullman-flagship/main campus),14,407
        WSU Spokane campus (WSU-Spokane or Spokane),14,407
        WSU Tri-Cities campus (WSU-Tri-Cities or Tri-Cities),14,407
        WSU Vancouver campus (WSU-Vancouver or Vancouver),14,407
    Western Washington University (WWU),14,407
West Virginia,14,407
    Bluefield State College,14,407
    Concord University,14,407
    Fairmont State University,14,407
    Glenville State College,14,407
    Marshall University,14,407
        Marshall University Graduate College,14,407
    Shepherd University,14,407
    West Liberty University,14,407
    West Virginia University system,14,407
        West Virginia University (WVU) (Morgantown- flagship/main campus),14,407
        Potomac State College of West Virginia University,14,407
        West Virginia University Institute of Technology (WVU Tech or West Virginia Tech),14,407
    West Virginia School of Osteopathic Medicine,14,407
    University of Wisconsin System,14,407
        University of Wisconsin–Madison (Wisconsin) (Madison-flagship/main campus),14,407
        University of Wisconsin–Eau Claire,14,407
        University of Wisconsin–Green Bay,14,407
        University of Wisconsin–La Crosse,14,407
        University of Wisconsin–Milwaukee,14,407
        University of Wisconsin–Oshkosh,14,407
        University of Wisconsin–Parkside,14,407
        University of Wisconsin–Platteville,14,407
        University of Wisconsin–River Falls,14,407
        University of Wisconsin–Stevens Point,14,407
        University of Wisconsin–Stout,14,407
        University of Wisconsin–Superior,14,407
        University of Wisconsin–Whitewater,14,407
    University of Wyoming,14,407
